151;Goodbye-166317.mp4;;SQL-tutorials;SQL-Essential-Training;;;;;;; ;166317;
152;Selecting columns-166257.mp4;;SQL-tutorials;SQL-Essential-Training;;;;;;; ;166257;
153;Installing the test environment on a PC-166251.mp4;;SQL-tutorials;SQL-Essential-Training;;;;;;; ;166251;
154;Searching within a result set-166309.mp4;;SQL-tutorials;SQL-Essential-Training;;;;;;; ;166309;
155;Removing spaces with TRIM-166286.mp4;;SQL-tutorials;SQL-Essential-Training;;;;;;; ;166286;
156;What is SQL-166252.mp4;;SQL-tutorials;SQL-Essential-Training;;;;;;; ;166252;
157;Formatting SQL-166265.mp4;;SQL-tutorials;SQL-Essential-Training;;;;;;; ;166265;
158;Removing duplicates with SELECT DISTINCT-166275.mp4;;SQL-tutorials;SQL-Essential-Training;;;;;;; ;166275;
159;Conditional expressions with CASE-166277.mp4;;SQL-tutorials;SQL-Essential-Training;;;;;;; ;166277;
160;Finding the length of a string-166284.mp4;;SQL-tutorials;SQL-Essential-Training;;;;;;; ;166284;
161;Using transactions-166302.mp4;;SQL-tutorials;SQL-Essential-Training;;;;;;; ;166302;
162;Inserting data-166259.mp4;;SQL-tutorials;SQL-Essential-Training;;;;;;; ;166259;
163;Date- and time-related functions-166295.mp4;;SQL-tutorials;SQL-Essential-Training;;;;;;; ;166295;
164;Creating a joined view-166311.mp4;;SQL-tutorials;SQL-Essential-Training;;;;;;; ;166311;
165;Selecting part of a string-166285.mp4;;SQL-tutorials;SQL-Essential-Training;;;;;;; ;166285;
166;Preventing automatic updates with a trigger-166305.mp4;;SQL-tutorials;SQL-Essential-Training;;;;;;; ;166305;
167;The SELECT functions-166314.mp4;;SQL-tutorials;SQL-Essential-Training;;;;;;; ;166314;
168;Integer division and remainders-166291.mp4;;SQL-tutorials;SQL-Essential-Training;;;;;;; ;166291;
169;Deleting a table with DROP TABLE-166267.mp4;;SQL-tutorials;SQL-Essential-Training;;;;;;; ;166267;
170;Making strings uppercase and lowercase-166287.mp4;;SQL-tutorials;SQL-Essential-Training;;;;;;; ;166287;
171;Course overview-166249.mp4;;SQL-tutorials;SQL-Essential-Training;;;;;;; ;166249;
172;Using the exercise files-166248.mp4;;SQL-tutorials;SQL-Essential-Training;;;;;;; ;166248;
173;Why use transactions-166301.mp4;;SQL-tutorials;SQL-Essential-Training;;;;;;; ;166301;
174;Databases and tables-166263.mp4;;SQL-tutorials;SQL-Essential-Training;;;;;;; ;166263;
175;Deleting rows from a table-166269.mp4;;SQL-tutorials;SQL-Essential-Training;;;;;;; ;166269;
176;Updating a table with a trigger-166304.mp4;;SQL-tutorials;SQL-Essential-Training;;;;;;; ;166304;
177;Finding the type of a value-166290.mp4;;SQL-tutorials;SQL-Essential-Training;;;;;;; ;166290;
178;Creating an ID column-166273.mp4;;SQL-tutorials;SQL-Essential-Training;;;;;;; ;166273;
179;Using aggregate functions-166298.mp4;;SQL-tutorials;SQL-Essential-Training;;;;;;; ;166298;
180;Inserting rows into a table-166268.mp4;;SQL-tutorials;SQL-Essential-Training;;;;;;; ;166268;
181;Deleting data-166261.mp4;;SQL-tutorials;SQL-Essential-Training;;;;;;; ;166261;
182;The INSERT, UPDATE, and DELETE functions-166315.mp4;;SQL-tutorials;SQL-Essential-Training;;;;;;; ;166315;
183;Dates and times-166294.mp4;;SQL-tutorials;SQL-Essential-Training;;;;;;; ;166294;
184;Rounding numbers-166292.mp4;;SQL-tutorials;SQL-Essential-Training;;;;;;; ;166292;
185;Changing a schema with ALTER-166272.mp4;;SQL-tutorials;SQL-Essential-Training;;;;;;; ;166272;
186;Installing the test environment on a Mac-166250.mp4;;SQL-tutorials;SQL-Essential-Training;;;;;;; ;166250;
187;Using multiple related tables-166281.mp4;;SQL-tutorials;SQL-Essential-Training;;;;;;; ;166281;
188;When is a CMS right for you-82421.mp4;;Business-Online-Marketing-SEO-tutorials;CMS-Fundamentals;;;;;;; ;82421;
189;Challenges for CMS migrations-82458.mp4;;Business-Online-Marketing-SEO-tutorials;CMS-Fundamentals;;;;;;; ;82458;
190;WYSIWYG editors-82444.mp4;;Business-Online-Marketing-SEO-tutorials;CMS-Fundamentals;;;;;;; ;82444;
191;A closer look at WordPress-82437.mp4;;Business-Online-Marketing-SEO-tutorials;CMS-Fundamentals;;;;;;; ;82437;
192;What are web analytics-82451.mp4;;Business-Online-Marketing-SEO-tutorials;CMS-Fundamentals;;;;;;; ;82451;
193;A closer look at Drupal-82435.mp4;;Business-Online-Marketing-SEO-tutorials;CMS-Fundamentals;;;;;;; ;82435;
194;What are themes and templates-82449.mp4;;Business-Online-Marketing-SEO-tutorials;CMS-Fundamentals;;;;;;; ;82449;
195;Avoiding distractions-82460.mp4;;Business-Online-Marketing-SEO-tutorials;CMS-Fundamentals;;;;;;; ;82460;
196;Additional resources-82462.mp4;;Business-Online-Marketing-SEO-tutorials;CMS-Fundamentals;;;;;;; ;82462;
197;What is SEO-82450.mp4;;Business-Online-Marketing-SEO-tutorials;CMS-Fundamentals;;;;;;; ;82450;
198;Planning a content strategy-82455.mp4;;Business-Online-Marketing-SEO-tutorials;CMS-Fundamentals;;;;;;; ;82455;
199;Steps for migrating content-82459.mp4;;Business-Online-Marketing-SEO-tutorials;CMS-Fundamentals;;;;;;; ;82459;
200;Resources for comparing CMSs-82438.mp4;;Business-Online-Marketing-SEO-tutorials;CMS-Fundamentals;;;;;;; ;82438;
201;Content management as a process-82453.mp4;;Business-Online-Marketing-SEO-tutorials;CMS-Fundamentals;;;;;;; ;82453;
202;Properly assessing needs-82426.mp4;;Business-Online-Marketing-SEO-tutorials;CMS-Fundamentals;;;;;;; ;82426;
203;What is a CMS-82417.mp4;;Business-Online-Marketing-SEO-tutorials;CMS-Fundamentals;;;;;;; ;82417;
204;What is a LAMP stack-82441.mp4;;Business-Online-Marketing-SEO-tutorials;CMS-Fundamentals;;;;;;; ;82441;
205;Hosted solution examples-82431.mp4;;Business-Online-Marketing-SEO-tutorials;CMS-Fundamentals;;;;;;; ;82431;
206;Knowing when to seek assistance-82427.mp4;;Business-Online-Marketing-SEO-tutorials;CMS-Fundamentals;;;;;;; ;82427;
207;What is an open source CMS-82440.mp4;;Business-Online-Marketing-SEO-tutorials;CMS-Fundamentals;;;;;;; ;82440;
208;Core features to research-82424.mp4;;Business-Online-Marketing-SEO-tutorials;CMS-Fundamentals;;;;;;; ;82424;
209;Choosing a CMS for designers-82428.mp4;;Business-Online-Marketing-SEO-tutorials;CMS-Fundamentals;;;;;;; ;82428;
210;The pros and cons of open source solutions-82432.mp4;;Business-Online-Marketing-SEO-tutorials;CMS-Fundamentals;;;;;;; ;82432;
211;CMS types-82419.mp4;;Business-Online-Marketing-SEO-tutorials;CMS-Fundamentals;;;;;;; ;82419;
212;What CMS means for this course-82415.mp4;;Business-Online-Marketing-SEO-tutorials;CMS-Fundamentals;;;;;;; ;82415;
213;What is metadata-82446.mp4;;Business-Online-Marketing-SEO-tutorials;CMS-Fundamentals;;;;;;; ;82446;
214;Understanding taxonomy-82447.mp4;;Business-Online-Marketing-SEO-tutorials;CMS-Fundamentals;;;;;;; ;82447;
215;Choosing a CMS for organizations-82429.mp4;;Business-Online-Marketing-SEO-tutorials;CMS-Fundamentals;;;;;;; ;82429;
216;The evolution of CMSs-82418.mp4;;Business-Online-Marketing-SEO-tutorials;CMS-Fundamentals;;;;;;; ;82418;
217;What is MySQL-82443.mp4;;Business-Online-Marketing-SEO-tutorials;CMS-Fundamentals;;;;;;; ;82443;
218;Controlling content lifecycle-82457.mp4;;Business-Online-Marketing-SEO-tutorials;CMS-Fundamentals;;;;;;; ;82457;
219;A closer look at Joomla!-82436.mp4;;Business-Online-Marketing-SEO-tutorials;CMS-Fundamentals;;;;;;; ;82436;
220;Welcome-82414.mp4;;Business-Online-Marketing-SEO-tutorials;CMS-Fundamentals;;;;;;; ;82414;
221;What is version control-82448.mp4;;Business-Online-Marketing-SEO-tutorials;CMS-Fundamentals;;;;;;; ;82448;
222;What are WebDAV and FTP-82442.mp4;;Business-Online-Marketing-SEO-tutorials;CMS-Fundamentals;;;;;;; ;82442;
223;Comparing CMSs-82423.mp4;;Business-Online-Marketing-SEO-tutorials;CMS-Fundamentals;;;;;;; ;82423;
224;Properly defining roles-82454.mp4;;Business-Online-Marketing-SEO-tutorials;CMS-Fundamentals;;;;;;; ;82454;
225;The importance of taxonomy-82456.mp4;;Business-Online-Marketing-SEO-tutorials;CMS-Fundamentals;;;;;;; ;82456;
226;Commonly overlooked issues-82425.mp4;;Business-Online-Marketing-SEO-tutorials;CMS-Fundamentals;;;;;;; ;82425;
227;Open source CMS examples-82433.mp4;;Business-Online-Marketing-SEO-tutorials;CMS-Fundamentals;;;;;;; ;82433;
228;Understanding users, groups, and permissions-82445.mp4;;Business-Online-Marketing-SEO-tutorials;CMS-Fundamentals;;;;;;; ;82445;
229;Proprietary CMSs-82434.mp4;;Business-Online-Marketing-SEO-tutorials;CMS-Fundamentals;;;;;;; ;82434;
230;Basic CMS capabilities-82420.mp4;;Business-Online-Marketing-SEO-tutorials;CMS-Fundamentals;;;;;;; ;82420;
231;The pros and cons of hosted solutions-82430.mp4;;Business-Online-Marketing-SEO-tutorials;CMS-Fundamentals;;;;;;; ;82430;
232;Adjusting the margins and padding-94637.mp4;;Business-Online-Marketing-SEO-tutorials;Creating-an-HTML-Email-Newsletter;;;;;;; ;94637;
233;Placing your copy in the code-94636.mp4;;Business-Online-Marketing-SEO-tutorials;Creating-an-HTML-Email-Newsletter;;;;;;; ;94636;
234;Welcome-94628.mp4;;Business-Online-Marketing-SEO-tutorials;Creating-an-HTML-Email-Newsletter;;;;;;; ;94628;
235;Sending the final email out -94641.mp4;;Business-Online-Marketing-SEO-tutorials;Creating-an-HTML-Email-Newsletter;;;;;;; ;94641;
236;Showcasing the finished project-94632.mp4;;Business-Online-Marketing-SEO-tutorials;Creating-an-HTML-Email-Newsletter;;;;;;; ;94632;
237;Using the exercise files-94629.mp4;;Business-Online-Marketing-SEO-tutorials;Creating-an-HTML-Email-Newsletter;;;;;;; ;94629;
238;Getting your dimensions and color palette-94633.mp4;;Business-Online-Marketing-SEO-tutorials;Creating-an-HTML-Email-Newsletter;;;;;;; ;94633;
